"Timestamp","Your Age -","Your Gender -","Do you donate in charity?","When was the last time you donated to charity?","You are - for donation","On which platform did you donate?","How do you donate in Charity?","Is it early for Bangladesh to promote an online donation campaign?","How do you think people will receive an online donation campaign?","How do you agree that it's easier to donate online?","Do you consider yourself a - ?","Do you think that your donations are focused (or not) to specific areas?","Choose any 5 areas to be focused-","Do you think that your donation will make a difference?","Any suggestion for us?"
"2021/06/09 12:39:01 AM GMT+6","1-25","Male","Yes","More than 6 months ago","Relies on public reports to decide","Social Media","Mobile Banking","Maybe","Very positively","Strongly agree","I do not do any fundraising but I support what you do","Maybe","Education;Poverty reduction;Health care;Human rights;Youth or Children affairs","Yes","No"
"2021/06/09 11:38:46 AM GMT+6","1-25","Female","No","Do not donate in charity","Relies on public reports to decide","Person to person","Cash","No","Very positively","Neutral","I do not do any fundraising but I support what you do","No","Education;Poverty reduction;Health care;Youth or Children affairs;Water problem","Yes","Still I haven’t enough knowledge to suggest. "
"2021/06/09 11:41:25 AM GMT+6","1-25","Female","Yes","More than 6 months ago","Direct engaged to charity organizations","Social Media","Mobile Banking","Maybe","Somewhat positively","Agree","I do not do any fundraising but I support what you do","Maybe","Education;Poverty reduction;Health care;Human rights;Water problem","Maybe","Make social awareness about this online Charity "
"2021/06/09 11:44:37 AM GMT+6","1-25","Female","Yes","In the last week","Independent nonprofit reports","Person to person","Cash","Yes","Somewhat negatively","Agree","I do not do any fundraising but I support what you do","Yes","Education;Poverty reduction;Health care;Human rights;Youth or Children affairs","Yes","No"
"2021/06/09 11:45:25 AM GMT+6","1-25","Male","No","Do not donate in charity","Independent nonprofit reports","Person to person","Cash","Maybe","Somewhat positively","Agree","I do not do any fundraising but I support what you do","Yes","Education;Poverty reduction;Health care;Youth or Children affairs;Developing infrastructure","Maybe",""
"2021/06/09 11:49:27 AM GMT+6","1-25","Female","Yes","A month ago","Relies on public reports to decide","Person to person","Cash","No","Somewhat positively","Agree","Part time fundraiser","No","Education;Poverty reduction;Health care;International issues;Water problem","Yes",""
"2021/06/09 11:49:46 AM GMT+6","1-25","Male","Yes","More than 6 months ago","Independent nonprofit reports","Charity website","Mobile Banking","No","Somewhat positively","Agree","Volunteer fundraiser","Maybe","Education;Poverty reduction;Health care;Youth or Children affairs;Developing infrastructure","Yes",""
"2021/06/09 11:49:55 AM GMT+6","1-25","Male","Yes","A month ago","Independent nonprofit reports","Social Media","Mobile Banking","Yes","Somewhat positively","Agree","Volunteer fundraiser","Yes","Education;Poverty reduction;Health care;Human rights;Youth or Children affairs","Yes","No"
"2021/06/09 11:50:33 AM GMT+6","31-40","Male","Yes","In the last week","Direct engaged to charity organizations","Other","Bank Transfer","No","Somewhat positively","Agree","I do not do any fundraising but I support what you do","Yes","Education;Poverty reduction;Health care;Youth or Children affairs;Developing infrastructure","Yes",""
"2021/06/09 11:51:39 AM GMT+6","1-25","Male","Yes","More than 6 months ago","Relies on public reports to decide","Person to person","Mobile Banking","No","Very positively","Strongly agree","I do not do any fundraising but I support what you do","Maybe","Education;Poverty reduction;Health care;Human rights;Youth or Children affairs","Maybe","Great Survey."
